tau,ICR,on_chain_volume,write_reduction,anchored_flows,attacks_anchored,attacks_missed,benign_anchored,anchor_precision
3.423111775191501e-05,0.9999911387581856,0.7789458669025898,0.22105413309741018,2943349,451400,4,2491949,0.15336271709539032
3.693322287290357e-05,0.9999911387581856,0.778936604288696,0.22106339571130396,2943314,451400,4,2491914,0.15336454078633813
3.963532799389213e-05,0.9999911387581856,0.7788357741203097,0.2211642258796903,2942933,451400,4,2491533,0.15338439577115756
4.2337433114880696e-05,0.9999911387581856,0.7788312751364185,0.22116872486358152,2942916,451400,4,2491516,0.15338528180892694
4.503953823586926e-05,0.9999911387581856,0.778830745844196,0.22116925415580402,2942914,451400,4,2491514,0.1533853860493375
4.774164335685782e-05,0.9999911387581856,0.7788304811980847,0.22116951880191527,2942913,451400,4,2491513,0.1533854381695959
5.044374483986758e-05,0.9999911387581856,0.7788280993830835,0.2211719006169165,2942904,451400,4,2491504,0.15338590725351559
5.0443748477846384e-05,0.9999889234477319,0.7741123703267135,0.22588762967328646,2925085,451399,5,2473686,0.15431995993278827
5.044375211582519e-05,0.9999313253759382,0.6993154399040288,0.3006845600959712,2642455,451373,31,2191082,0.17081577548151244
9.23907064134255e-05,0.9999313253759382,0.6949868881084181,0.30501311189158187,2626099,451373,31,2174726,0.17187965876381658
0.00012385091395117342,0.9999313253759382,0.6949866234623069,0.3050133765376931,2626098,451373,31,2174725,0.17187972421440478
0.0001448244001949206,0.9999313253759382,0.6949850355856394,0.3050149644143606,2626092,451373,31,2174719,0.17188011691898075
0.00024969177320599556,0.9999313253759382,0.6949839770011943,0.3050160229988057,2626088,451373,31,2174715,0.17188037872302833
0.000249691802309826,0.9999313253759382,0.6938414997389266,0.3061585002610734,2621771,451373,31,2170398,0.17216339642173173
0.0002496918314136565,0.9998604354414228,0.6621932652328317,0.33780673476716827,2502184,451341,63,2050843,0.1803788210619203
0.00025575366453267634,0.9998604354414228,0.6610833394422477,0.33891666055775227,2497990,451341,63,2046649,0.18068166806112115
0.0002648464869707823,0.9998604354414228,0.6610830747961365,0.3389169252038635,2497989,451341,63,2046648,0.1806817403919713
0.00026787741808220744,0.9998604354414228,0.6610828101500252,0.33891718984997476,2497988,451341,63,2046647,0.18068181272287936
0.0002709083491936326,0.9998604354414228,0.661082545503914,0.338917454496086,2497987,451341,63,2046646,0.18068188505384536
0.0002769702114164829,0.9998604354414228,0.6610767232894664,0.33892327671053357,2497965,451341,63,2046624,0.18068347634974868
0.00028303207363933325,0.9998604354414228,0.6610761939972439,0.33892380600275607,2497963,451341,63,2046622,0.18068362101440252
0.00028606303385458887,0.9998604354414228,0.6610756647050214,0.33892433529497856,2497961,451341,63,2046620,0.18068376567928804
0.0003042485914193094,0.9998604354414228,0.6610754000589102,0.3389245999410898,2497960,451341,63,2046619,0.18068383801181764
0.00030424862052313983,0.999853789510062,0.659784456328231,0.340215543671769,2493082,451338,66,2041744,0.18103616327100353
0.0003042486496269703,0.9998449282682476,0.6499036291185882,0.35009637088141177,2455746,451334,70,2004412,0.18378692258889967
0.0003193580196239054,0.9998449282682476,0.6488937395580568,0.35110626044194315,2451930,451334,70,2000596,0.1840729547744022
0.0003495768178254366,0.9998449282682476,0.6488934749119456,0.3511065250880544,2451929,451334,70,2000595,0.1840730298471122
0.0003571315319277346,0.9998449282682476,0.6488921516813894,0.35110784831861064,2451924,451334,70,2000590,0.18407340521158078
0.00041001441422849894,0.9998449282682476,0.6488892405741656,0.35111075942583436,2451913,451334,70,2000579,0.1840742310188004
0.0004175691574346274,0.9998449282682476,0.6488889759280544,0.3511110240719456,2451912,451334,70,2000578,0.18407430609255143
0.00044778789742849767,0.9998449282682476,0.6488887112819431,0.35111128871805686,2451911,451334,70,2000577,0.1840743811663637
0.00044778792653232813,0.9998449282682476,0.6482622939366135,0.3517377060633865,2449544,451334,70,1998210,0.18425225266416934
0.0004477879556361586,0.9998338517159795,0.6461226301271545,0.35387736987284546,2441459,451329,75,1990130,0.18486036423302624
0.0004497571208048612,0.9998338517159795,0.6460289454037719,0.35397105459622813,2441105,451329,75,1989776,0.18488717199792717
0.00045369548024609685,0.9998338517159795,0.6460284161115494,0.3539715838884506,2441103,451329,75,1989774,0.1848873234763138
0.00045763381058350205,0.9998338517159795,0.6460281514654381,0.3539718485345619,2441102,451329,75,1989773,0.18488739921560016
0.0004635413351934403,0.9998338517159795,0.6460278868193269,0.3539721131806731,2441101,451329,75,1989772,0.18488747495494862
0.00047141805407591164,0.9998338517159795,0.6460273575271044,0.3539726424728956,2441099,451329,75,1989770,0.18488762643383164
0.0004753564135171473,0.9998338517159795,0.6460270928809931,0.35397290711900686,2441098,451329,75,1989769,0.18488770217336625
0.00047732554958201945,0.9998338517159795,0.6460268282348819,0.3539731717651181,2441097,451329,75,1989768,0.1848877779129629
0.00048126387991942465,0.9998338517159795,0.6460207413743231,0.3539792586256769,2441074,451329,75,1989745,0.18488951994081293
0.0004812639090232551,0.9998294210950722,0.6428857435404516,0.3571142564595484,2429228,451327,77,1977901,0.18579030045759393
0.00048126393812708557,0.9997673924023712,0.6313193852482553,0.36868061475174474,2385523,451299,105,1934224,0.1891824140869738
0.0004937087651342154,0.9997673924023712,0.63011180504262,0.36988819495738,2380960,451299,105,1929661,0.18954497345608495
0.0004978570505045354,0.9997673924023712,0.6301115403965086,0.36988845960349137,2380959,451299,105,1929660,0.18954505306475247
0.0005559329874813557,0.9997673924023712,0.6301112757503974,0.3698887242496026,2380958,451299,105,1929659,0.18954513267348688
0.0005559330456890166,0.9997673924023712,0.629756649961322,0.37024335003867803,2379618,451299,105,1928319,0.1896518684931783
0.0005559331038966775,0.9997629617814641,0.6259507742354308,0.3740492257645692,2365237,451297,107,1913940,0.19080413506130675
0.0006176091264933348,0.9997585311605568,0.625776637094228,0.37422336290577196,2364579,451295,109,1913284,0.19085638500553376
0.0006660688668489456,0.9997585311605568,0.625775578509783,0.37422442149021695,2364575,451295,109,1913280,0.19085670786504974
0.0006660689250566065,0.9997541005396496,0.6243859217796075,0.3756140782203925,2359324,451293,111,1908031,0.19128063801326142
0.0006660689832642674,0.9997208708828456,0.6169853579246029,0.38301464207539715,2331360,451278,126,1880082,0.19356856084002472
0.0006797352689318359,0.9997208708828456,0.6153953640882108,0.38460463591178917,2325352,451278,126,1874074,0.1940686829348847
0.0006888461066409945,0.9997208708828456,0.6153950994420996,0.3846049005579004,2325351,451278,126,1874073,0.19406876639268653
0.0006956793367862701,0.9997208708828456,0.6153948347959883,0.38460516520401167,2325350,451278,126,1874072,0.19406884985056014
0.0007093455642461777,0.9997208708828456,0.6153945701498771,0.3846054298501229,2325349,451278,126,1874071,0.19406893330850553
0.0007093456224538386,0.9997208708828456,0.6143343978282082,0.3856656021717918,2321343,451278,126,1870065,0.19440384294781082
0.0007093456806614995,0.9996876412260414,0.6087101386719158,0.3912898613280842,2300091,451263,141,1848828,0.19619354190768973
0.0012308780569583178,0.9996832106051342,0.6078193398614472,0.3921806601385528,2296725,451261,143,1845464,0.1964802055100197
0.0012752636102959514,0.9996832106051342,0.607819075215336,0.39218092478466404,2296724,451261,143,1845463,0.19648029105804615
0.0012752637267112732,0.9996787799842269,0.6073289506173003,0.3926710493826997,2294872,451259,145,1843613,0.19663798242342057
0.001275263843126595,0.999543646046557,0.5943811396243772,0.4056188603756228,2245947,451198,206,1794749,0.20089432208329047
0.0013320588041096926,0.9995370001151962,0.5941048490842318,0.4058951509157682,2244903,451195,209,1793708,0.20098641233051048
0.0014423076063394547,0.9995370001151962,0.5941045844381205,0.40589541556187947,2244902,451195,209,1793707,0.20098650186066028
0.0014423077227547765,0.9995281388733818,0.5935612659717237,0.40643873402827635,2242849,451191,213,1791658,0.2011686921411116
0.0014423078391700983,0.9994727561120416,0.5894015583950907,0.4105984416049093,2227131,451166,238,1775965,0.2025772170563833
0.0018035975517705083,0.9994550336284127,0.5886414947635797,0.41135850523642026,2224259,451158,246,1773101,0.20283519140531744
0.0018035976681858301,0.9994506030075054,0.5883075113711818,0.41169248862881824,2222997,451156,248,1771841,0.20294944167715925
