bin_lo,bin_hi,count,mean_confidence,observed_frequency,gap
0.0,0.06666666666666667,3333402,0.0045251077972352505,0.004580305645703699,5.519784846844816e-05
0.06666666666666667,0.13333333333333333,8424,0.08678708970546722,0.07977207977207977,0.007015009933387453
0.13333333333333333,0.2,168,0.19354842603206635,0.18452380952380953,0.00902461650825681
0.2,0.26666666666666666,339,0.20195439457893372,0.1710914454277286,0.030862949151205105
0.26666666666666666,0.3333333333333333,583,0.3005712926387787,0.274442538593482,0.026128754045296687
0.3333333333333333,0.4,340,0.3502674102783203,0.3323529411764706,0.01791446910184974
0.4,0.4666666666666667,0,,,
0.4666666666666667,0.5333333333333333,27,0.5,0.4074074074074074,0.09259259259259262
0.5333333333333333,0.6,198,0.5795201063156128,0.5353535353535354,0.044166570962077434
0.6,0.6666666666666666,49,0.6333589553833008,0.5510204081632653,0.08233854722003553
0.6666666666666666,0.7333333333333333,5,0.6666666865348816,1.0,0.3333333134651184
0.7333333333333333,0.8,0,,,
0.8,0.8666666666666667,84,0.8487389087677002,0.8571428571428571,0.0084039483751569
0.8666666666666667,0.9333333333333333,628,0.8711926937103271,0.8837579617834395,0.012565268073112312
0.9333333333333333,1.0,434384,0.9998791217803955,0.9998664775866515,1.2644193744026921e-05
