ICR_target,tau,ICR,on_chain_volume,write_reduction,reduction_factor,anchored_flows,attacks_missed,benign_anchored,anchor_precision
0.999,0.002786220982670784,0.9991360289230933,0.5691309895038705,0.43086901049612947,1.7570647503692105,2150536,390,1699522,0.20972166938846873
0.995,0.006434374023228884,0.9952437284561059,0.4694705569292159,0.5305294430707841,2.1300590319038353,1773956,2147,1324699,0.25325148989039187
0.99,0.00823355745524168,0.9903434617327272,0.3957547058709887,0.6042452941290113,2.5268177109838033,1495411,4359,1048366,0.29894457109115824
0.98,0.009494615718722343,0.9821933345739072,0.2876970521863606,0.7123029478136393,3.4758785062289523,1087101,8038,643735,0.4078425095736275
0.95,0.9997655153274536,0.9568036614651177,0.11430224332569124,0.8856977566743087,8.748734678379092,431906,19499,1,0.999997684681389
0.9,0.9997730489463306,0.9473199174132263,0.11316902867731726,0.8868309713226827,8.836339868669672,427624,23780,0,1.0
