method,ECE,MCE,brier,roc_auc
uncalibrated,0.038284133256094595,0.44405891908613665,0.007652609143406153,0.9925309435243783
isotonic,8.135997203703995e-05,0.3333333134651184,0.0042887586168944836,0.9925314002157242
platt,0.0014594900865592478,0.654867028914435,0.00455322815105319,0.9925309435233794
