bin_lo,bin_hi,count,mean_confidence,observed_frequency,gap
0.0,0.06666666666666667,1843539,0.00936851929873228,0.0006167485472235738,0.008751770751508707
0.06666666666666667,0.13333333333333333,1461450,0.09169014543294907,0.009304457901399296,0.08238568753154978
0.13333333333333333,0.2,23254,0.15396396815776825,0.014750150511739916,0.13921381764602833
0.2,0.26666666666666666,3116,0.22745463252067566,0.026957637997432605,0.20049699452324304
0.26666666666666666,0.3333333333333333,1714,0.293032705783844,0.05367561260210035,0.23935709318174364
0.3333333333333333,0.4,849,0.3661639988422394,0.0636042402826855,0.30255975855955386
0.4,0.4666666666666667,4993,0.43804314732551575,0.07610654916883637,0.3619365981566794
0.4666666666666667,0.5333333333333333,3162,0.48602724075317383,0.09361163820366857,0.39241560254950525
0.5333333333333333,0.6,304,0.5625944137573242,0.19078947368421054,0.3718049400731137
0.6,0.6666666666666666,361,0.6294110417366028,0.32132963988919666,0.3080814018474061
0.6666666666666666,0.7333333333333333,358,0.6982488632202148,0.2541899441340782,0.44405891908613665
0.7333333333333333,0.8,234,0.7695887088775635,0.41452991452991456,0.3550587943476489
0.8,0.8666666666666667,196,0.8295748829841614,0.5102040816326531,0.3193708013515083
0.8666666666666667,0.9333333333333333,560,0.8999712467193604,0.9,2.8753280639670642e-05
0.9333333333333333,1.0,434541,0.9998430013656616,0.9997997887426042,4.321262305739815e-05
