bin_lo,bin_hi,count,mean_confidence,observed_frequency,gap
0.0,0.06666666666666667,3332312,0.003968051169067621,0.004566199083399154,0.0005981479143315326
0.06666666666666667,0.13333333333333333,1099,0.08978771418333054,0.048225659690627844,0.04156205449270269
0.13333333333333333,0.2,512,0.16341133415699005,0.076171875,0.08723945915699005
0.2,0.26666666666666666,397,0.2268448770046234,0.0906801007556675,0.1361647762489559
0.26666666666666666,0.3333333333333333,4535,0.28853654861450195,0.0743109151047409,0.21422563350976104
0.3333333333333333,0.4,1520,0.3873981535434723,0.07960526315789473,0.30779289038557756
0.4,0.4666666666666667,1320,0.41482165455818176,0.09545454545454546,0.3193671091036363
0.4666666666666667,0.5333333333333333,280,0.5073712468147278,0.1392857142857143,0.3680855325290135
0.5333333333333333,0.6,192,0.557835578918457,0.18229166666666666,0.3755439122517904
0.6,0.6666666666666666,102,0.6291635036468506,0.20588235294117646,0.4232811507056741
0.6666666666666666,0.7333333333333333,104,0.7013717293739319,0.18269230769230768,0.5186794216816242
0.7333333333333333,0.8,178,0.7670192122459412,0.33707865168539325,0.4299405605605479
0.8,0.8666666666666667,194,0.8273519277572632,0.29381443298969073,0.5335374947675724
0.8666666666666667,0.9333333333333333,346,0.9005317687988281,0.24566473988439305,0.654867028914435
0.9333333333333333,1.0,435540,0.9972047805786133,0.9991275198604032,0.0019227392817898759
