tau,class,support,ICR_at_tau,mean_confidence
0.002786220982670784,Infiltration,23215,0.9832005169071721,0.30301567912101746
0.002786220982670784,DDoS,278227,1.0,0.9999988675117493
0.002786220982670784,Bot,28532,1.0,0.9999961853027344
0.002786220982670784,DoS,96798,1.0,0.9999908208847046
0.002786220982670784,BruteForce,23967,1.0,0.9999797940254211
0.002786220982670784,Web Attacks,665,1.0,0.9939884543418884
0.006434374023228884,Infiltration,23215,0.9075166917940987,0.30301567912101746
0.006434374023228884,DDoS,278227,1.0,0.9999988675117493
0.006434374023228884,Bot,28532,1.0,0.9999961853027344
0.006434374023228884,DoS,96798,1.0,0.9999908208847046
0.006434374023228884,BruteForce,23967,1.0,0.9999797940254211
0.006434374023228884,Web Attacks,665,1.0,0.9939884543418884
0.00823355745524168,Infiltration,23215,0.8122334697393926,0.30301567912101746
0.00823355745524168,DDoS,278227,1.0,0.9999988675117493
0.00823355745524168,Bot,28532,1.0,0.9999961853027344
0.00823355745524168,DoS,96798,1.0,0.9999908208847046
0.00823355745524168,BruteForce,23967,1.0,0.9999797940254211
0.00823355745524168,Web Attacks,665,1.0,0.9939884543418884
0.009494615718722343,Infiltration,23215,0.6537583458970493,0.30301567912101746
0.009494615718722343,DDoS,278227,1.0,0.9999988675117493
0.009494615718722343,Bot,28532,1.0,0.9999961853027344
0.009494615718722343,DoS,96798,1.0,0.9999908208847046
0.009494615718722343,BruteForce,23967,1.0,0.9999797940254211
0.009494615718722343,Web Attacks,665,1.0,0.9939884543418884
0.9997655153274536,Infiltration,23215,0.17337928063751884,0.30301567912101746
0.9997655153274536,Web Attacks,665,0.9203007518796993,0.9939884543418884
0.9997655153274536,DoS,96798,0.9990289055559,0.9999908208847046
0.9997655153274536,BruteForce,23967,0.9990403471439897,0.9999797940254211
0.9997655153274536,DDoS,278227,0.999543538190039,0.9999988675117493
0.9997655153274536,Bot,28532,0.9995794195990467,0.9999961853027344
0.9997730489463306,Infiltration,23215,0.0,0.30301567912101746
0.9997730489463306,Web Attacks,665,0.9187969924812031,0.9939884543418884
0.9997730489463306,DDoS,278227,0.9987384401945174,0.9999988675117493
0.9997730489463306,DoS,96798,0.9987912973408541,0.9999908208847046
0.9997730489463306,BruteForce,23967,0.998956899069554,0.9999797940254211
0.9997730489463306,Bot,28532,0.99936912939857,0.9999961853027344
