class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9951321514663832,0.9996519624299754,0.9973869364213503,0.9639568989198146,,0.9919262678507393
DDoS,278227,0.9984961936527924,0.6896886355386069,0.8158484373073472,0.9999174381014305,1.0,0.9999471802039762
DoS,96798,0.9999173604941842,1.0,0.9999586785396996,0.9999978271692388,1.0,0.999999999783947
Bot,28532,0.9999299081797154,1.0,0.9999649528615988,0.9999994666807462,1.0,1.0
BruteForce,23967,0.9994162044952254,1.0,0.9997080170184366,0.99999627130417,1.0,0.999999999038761
Infiltration,23215,0.8662261563396085,0.29928925263838035,0.44487130234344985,0.9997142793235156,0.2994184794314021,0.8609987914034867
Web Attacks,665,0.004436966267531779,0.5789473684210527,0.008806441282766824,0.9771342568990827,0.9909774436090225,0.9802168126916557
