class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.999226291607808,0.5725272126007633,0.7279566954484745,0.9967324170809297,,0.9924625385808156
DDoS,278227,0.9879999651668074,0.40777854054423185,0.5772909988296953,0.9996063311549181,1.0,0.9917961117109038
DoS,96798,0.9717744930550397,0.9461042583524453,0.9587675814885965,0.9992775337719011,1.0,0.9992701822059937
Bot,28532,0.6371337639239913,0.9542268330295808,0.7640884598114055,0.9958651758260249,1.0,0.9999538804969605
BruteForce,23967,0.8031576170918271,0.8893478532982851,0.844058131707124,0.9986086637845624,1.0,0.9996638096889328
Infiltration,23215,0.015053079835479865,0.9362911910402757,0.02962979119012631,0.6212880277444629,0.9364634934309713,0.8700689501320314
Web Attacks,665,0.0037285060629910754,0.8406015037593985,0.007424082448486297,0.9604636463112691,1.0,0.9803461686084742
