class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9951937737210353,0.9995248295352256,0.9973545997006418,0.9644198988046184,,0.9921739082958112
DDoS,278227,0.9960683209796971,0.9998023196885996,0.9979318274358427,0.9996863219216982,1.0,0.999940087091715
DoS,96798,0.9999896692080414,0.9999896692080414,0.9999896692080414,0.9999997283961548,1.0,1.0
Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.9994162044952254,1.0,0.9997080170184366,0.99999627130417,1.0,0.9999999993665825
Infiltration,23215,0.8746027866047421,0.3082489769545552,0.455839729910501,0.9997267945814792,0.3083351281499031,0.8654913785016243
Web Attacks,665,0.6273291925465838,0.1518796992481203,0.24455205811138014,0.9999841184383342,0.9939849624060151,0.9787555038318168
