class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9951564068235234,0.9994953755785223,0.9973211719186842,0.9641429849979176,,0.9919136774860939
DDoS,278227,0.9731096838755829,0.8947298428980652,0.9322752432383848,0.9980347982689998,1.0,0.9373749170631339
DoS,96798,0.9349844835927268,0.8186016240004959,0.8729309765515266,0.9985034628132238,1.0,0.9070935551023431
Bot,28532,0.09428553623730292,0.05302817888686387,0.06787949482940397,0.9961243689833255,1.0,0.5239169461803587
BruteForce,23967,0.7305484693877551,0.8603079233946677,0.790136230384549,0.9979745191580391,1.0,0.9150499568150973
Infiltration,23215,0.33433233433233434,0.216239500323067,0.2626209782893016,0.9973385105671382,0.3029937540383373,0.7178808894151134
Web Attacks,665,0.0006208665136995545,0.03458646616541353,0.0012198355873773534,0.9902005470668609,0.9924812030075187,0.5612802344185372
