class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9951710448176464,0.9997526468738082,0.997456584722836,0.96424267396833,,0.9921739082958112
DDoS,278227,0.9982053627982265,0.815650529962944,0.8977413657033334,0.999883442025549,1.0,0.999940087091715
DoS,96798,0.9999793388429752,1.0,0.9999896693147656,0.9999994567923097,1.0,1.0
Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.9994578815679733,1.0,0.9997288672909671,0.9999965376395864,1.0,0.9999999993665825
Infiltration,23215,0.9015035677879715,0.3047598535429679,0.45552586678685253,0.9997941639488142,0.30488908033598966,0.8654913785016243
Web Attacks,665,0.0052537706952037536,0.4075187969924812,0.01037380136658564,0.9864183531561692,0.9939849624060151,0.9787555038318168
