class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9952986374389289,0.939656055928856,0.9666773029185999,0.9672842952211322,,0.9898656159204435
DDoS,278227,0.9952689403428407,0.9995722916898792,0.9974159743354786,0.9996223293082741,0.9995902626272791,0.32469830756463347
DoS,96798,0.9823126469686126,0.9925824913737887,0.9874208665625257,0.9995301253478905,0.9999276844562904,0.4790610665558189
Bot,28532,0.9994044073853484,0.9997897097995233,0.9995970214629873,0.9999954667863435,1.0,0.7075259953872766
BruteForce,23967,0.9600592901209839,0.9999165519255643,0.9795826605898342,0.9997344635898179,1.0,0.4570433570741961
Infiltration,23215,0.04163510652760784,0.36937325005384447,0.07483494857551784,0.9474409759131878,0.36950247684686627,0.8309147520171944
Web Attacks,665,0.13043478260869565,0.13984962406015036,0.13497822931785197,0.9998358905294542,0.9849624060150376,0.9744983137065293
