class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9992023297394861,0.5315967320534487,0.693980949436397,0.996871981639507,,0.9910156861036323
DDoS,278227,0.9942146787258969,0.643607557857433,0.7813840440897329,0.9997023200750542,0.9999532755627599,0.42783485190893333
DoS,96798,0.99621239411686,0.9999276844562904,0.9980665817681239,0.9999000497849848,0.9999380152482489,0.3720401641178332
Bot,28532,0.9941799679375479,0.9998247581662695,0.9969943731870129,0.9999554678423156,0.9998948548997617,0.0589762420552017
BruteForce,23967,0.9965488565488565,1.0,0.9982714455297083,0.9999778941604361,1.0,0.6603912928764302
Infiltration,23215,0.013822069298578626,0.9394357096704716,0.02724330347383661,0.585657088322572,0.9401249192332544,0.8462765291644588
Web Attacks,665,0.004213748347793248,0.637593984962406,0.008372166495537478,0.9734780567109391,1.0,0.9800409389244534
