class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9992889008293847,0.5634226339230837,0.720570587769517,0.9970447758548883,,0.9923353260625071
DDoS,278227,0.9983833024157193,0.6925064785229327,0.8177787964253957,0.9999108674313022,1.0,0.48782793535360924
DoS,96798,0.999969007944297,0.999979338416083,0.9999741731535096,0.9999991851884645,0.9999896692080414,0.006248779799881066
Bot,28532,0.9999299081797154,1.0,0.9999649528615988,0.9999994666807462,1.0,7.701637884292946e-05
BruteForce,23967,0.9995829336447429,1.0,0.999791423327215,0.9999973366458357,1.0,0.008512091466240072
Infiltration,23215,0.014837564078390304,0.9423217747146242,0.029215114240899155,0.6132279353339284,0.9425802283006677,0.8678678252134502
Web Attacks,665,0.004476744186046512,0.5789473684210527,0.008884786245889344,0.9773383349664873,1.0,0.980418592111977
