class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9990108577187627,0.5782611165393885,0.7325168308923162,0.9957798335858787,,0.9920941253672
DDoS,278227,0.9965083726206458,0.6882976849838441,0.8142117044819207,0.9998083078410378,1.0,0.4901686083181614
DoS,96798,0.9959149233919513,0.9998760304964979,0.9978915460792552,0.9998921732734755,0.9998863612884564,0.494544701317573
Bot,28532,0.9996495654611719,0.9997897097995233,0.9997196327188617,0.9999973334037314,0.9997897097995233,0.4517770783236949
BruteForce,23967,0.9970872170439414,0.9997913798139108,0.9984374674472385,0.9999813565208499,1.0,0.4721442242558577
Infiltration,23215,0.014971488065171743,0.9179840620288606,0.029462469947893553,0.6266384336648723,0.9186732715916434,0.8641100182867096
Web Attacks,665,0.004498832364119236,0.5909774436090226,0.008929687233728315,0.9769815292143974,1.0,0.9805041513387207
