class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9987724680338856,0.5790726031016219,0.7331033744072114,0.9947541448458587,,0.9916815068790755
DDoS,278227,0.9992475100191082,0.42477904732466654,0.5961397323083675,0.9999745743634163,1.0,0.4627402591491643
DoS,96798,0.9999173604941842,1.0,0.9999586785396996,0.9999978271692388,1.0,0.580738146729653
Bot,28532,0.9999649528615988,1.0,0.9999824761237186,0.9999997333403732,1.0,0.31646146639490297
BruteForce,23967,0.9998748331108144,0.9999165519255643,0.9998956920830291,0.9999992009937507,0.9999165519255643,0.5387958600437663
Infiltration,23215,0.01466606815693713,0.897910833512815,0.028860738112165746,0.6270817933352789,0.8980831359035106,0.8567119467592139
Web Attacks,665,0.003809097019941743,0.9203007518796993,0.0075867925346953195,0.9576343461005208,1.0,0.9820775688986226
