class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9991420177899352,0.5802979478105942,0.7341843629673964,0.9963270152679197,,0.992468929425296
DDoS,278227,0.9984907734915515,0.6919637562134516,0.8174362741247577,0.9999168667388108,1.0,0.99994539827493
DoS,96798,0.9999896693147656,1.0,0.9999948346307019,0.9999997283961548,1.0,0.9999999999999999
Bot,28532,0.9999649528615988,1.0,0.9999824761237186,0.9999997333403732,1.0,1.0
BruteForce,23967,0.9989996248593223,1.0,0.9994995621168522,0.9999936079500057,1.0,0.9999999999666622
Infiltration,23215,0.01520041299874041,0.9284083566659488,0.029911104912301884,0.6281719521885192,0.9285806590566444,0.8701738049282193
Web Attacks,665,0.0045628171041785185,0.5909774436090226,0.009055716853311212,0.9773057777650725,1.0,0.9802383300185251
