class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9945593884029116,0.9932875033774371,0.993923038994773,0.9599494023092396,,0.9825036617371717
DDoS,278227,0.9867199197647,0.9971677802657543,0.9919163389345728,0.9989332659887259,0.9986773390073573,0.17326048816837636
DoS,96798,0.9182617093191695,0.9823136841670282,0.9492083774232835,0.9977011450546508,0.9926238145416227,0.3501517865434422
Bot,28532,0.9827467218771566,0.9981774849292023,0.990402003060231,0.9998666701865737,0.9991237908313473,0.08733355323806571
BruteForce,23967,0.9530553717185087,0.9012809279425877,0.9264453594098473,0.999716619116917,0.9653690491091919,0.5866134807168359
Infiltration,23215,0.38813320825515946,0.2851604566013353,0.32877256586625614,0.9972210801679494,0.30648287744992464,0.8002161151475646
Web Attacks,665,0.01029082774049217,0.03458646616541353,0.015862068965517243,0.9994144997599237,0.9368421052631579,0.8105105377166809
