class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9953841697012956,0.543193175578342,0.7028387486911657,0.98143348308832,,0.9793819121437093
DDoS,278227,0.9369828211952577,0.2783734145140479,0.4292257687309324,0.9985118860565809,0.9933291880371063,0.7012213873070117
DoS,96798,0.7774009416274322,0.9637802433934586,0.8606153973884125,0.9927446464845092,0.9951548585714581,0.5107951290535682
Bot,28532,0.9924503357339178,0.9997897097995233,0.9961065037101702,0.999942134860973,1.0,0.49665276318830515
BruteForce,23967,0.6508277380596407,0.998956899069554,0.7881620963228758,0.9965789215759386,1.0,0.22161672953351982
Infiltration,23215,0.011387967904215167,0.7184578936032737,0.022420557173496183,0.6144403176638753,0.7393064828774499,0.7198206116807362
Web Attacks,665,0.002681303017660965,0.9278195488721804,0.005347153312505145,0.9392543500920866,0.9939849624060151,0.9650609321189456
