class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9952030398001391,0.9997189852090044,0.99745590108601,0.9644819274973194,,0.9925309435243782
DDoS,278227,0.9979089702664897,1.0,0.9989533908878584,0.9998334477963116,1.0,0.999951354746722
DoS,96798,0.999969008584622,1.0,0.9999845040521903,0.9999991851884645,1.0,0.9999999999494942
Bot,28532,0.9999649528615988,1.0,0.9999824761237186,0.9999997333403732,1.0,0.9999999999439241
BruteForce,23967,0.9996663190823775,1.0,0.9998331317008051,0.9999978693166686,1.0,0.999999999811086
Infiltration,23215,0.8906812259585557,0.30919664010338144,0.4590394576964891,0.9997654054837067,0.3093689424940771,0.8713549353936898
Web Attacks,665,0.8203125,0.15789473684210525,0.2648171500630517,0.9999939120680281,1.0,0.9810619913912462
