class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9990913243700384,0.608039367316988,0.7559893665202334,0.9959238287653632,,0.993003095141476
DDoS,278227,0.9984480840181935,0.7353348165347001,0.8469268423939479,0.9999091533434427,1.0,0.47886115431247367
DoS,96798,0.999969008584622,1.0,0.9999845040521903,0.9999991851884645,1.0,0.49648797338176204
Bot,28532,1.0,1.0,1.0,1.0,1.0,0.4598246199645813
BruteForce,23967,0.9993328607763833,1.0,0.9996663190823775,0.9999957386333371,1.0,0.486454001663155
Infiltration,23215,0.016125442574518117,0.9206978246823174,0.03169575397902273,0.652739137288652,0.9207839758776653,0.8794045515340773
Web Attacks,665,0.0046622251652049355,0.518796992481203,0.009241401478624237,0.9805043242845489,0.9984962406015038,0.9791748698017433
