class,support,precision,recall_DR,f1,TNR_specificity,binary_recall,ROC_AUC_ovr
Benign,3327227,0.9952341294505723,0.9995563873459791,0.9973905757227874,0.9647189657158555,,0.9925309435243782
DDoS,278227,0.9979733922544128,0.99999640581252,0.9989838748478506,0.9998385900598902,1.0,0.999951354746722
DoS,96798,0.9999483487082012,1.0,0.9999741736871194,0.9999986419807743,1.0,0.9999999999494942
Bot,28532,0.9999299081797154,1.0,0.9999649528615988,0.9999994666807462,1.0,0.9999999999439241
BruteForce,23967,0.9993745308981736,1.0,0.9996871676155916,0.9999960049687535,1.0,0.999999999811086
Infiltration,23215,0.8341731562070546,0.3137626534568167,0.456005258709738,0.9996144235418926,0.3139780314451863,0.8713549353936898
Web Attacks,665,0.9285714285714286,0.15639097744360902,0.2676962676962677,0.9999978824584446,1.0,0.9810619913912462
