Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9952,0.9995,0.9973,0.9641,,0.9919
DDoS,278227,0.9731,0.8947,0.9323,0.998,1.0,0.9374
DoS,96798,0.935,0.8186,0.8729,0.9985,1.0,0.9071
Bot,28532,0.0943,0.053,0.0679,0.9961,1.0,0.5239
BruteForce,23967,0.7305,0.8603,0.7901,0.998,1.0,0.915
Infiltration,23215,0.3343,0.2162,0.2626,0.9973,0.303,0.7179
Web Attacks,665,0.0006,0.0346,0.0012,0.9902,0.9925,0.5613
MACRO AVG,3778631,0.5804,0.5539,0.5606,0.9918,0.8826,0.7935
WEIGHTED AVG,3778631,0.9793,0.9741,0.9763,0.9682,0.9641,0.9799
