Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9988,0.5791,0.7331,0.9948,,0.9917
DDoS,278227,0.9992,0.4248,0.5961,1.0,1.0,0.4627
DoS,96798,0.9999,1.0,1.0,1.0,1.0,0.5807
Bot,28532,1.0,1.0,1.0,1.0,1.0,0.3165
BruteForce,23967,0.9999,0.9999,0.9999,1.0,0.9999,0.5388
Infiltration,23215,0.0147,0.8979,0.0289,0.6271,0.8981,0.8567
Web Attacks,665,0.0038,0.9203,0.0076,0.9576,1.0,0.9821
MACRO AVG,3778631,0.7166,0.8317,0.6236,0.9399,0.983,0.6756
WEIGHTED AVG,3778631,0.9926,0.5864,0.7291,0.9931,0.9948,0.9334
