Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9991,0.5803,0.7342,0.9963,,0.9925
DDoS,278227,0.9985,0.692,0.8174,0.9999,1.0,0.9999
DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.999,1.0,0.9995,1.0,1.0,1.0
Infiltration,23215,0.0152,0.9284,0.0299,0.6282,0.9286,0.8702
Web Attacks,665,0.0046,0.591,0.0091,0.9773,1.0,0.9802
MACRO AVG,3778631,0.7166,0.8274,0.6557,0.9431,0.9881,0.9775
WEIGHTED AVG,3778631,0.9929,0.6072,0.7464,0.9945,0.9963,0.9926
