Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9952,0.9996,0.9974,0.9647,,0.9925
DDoS,278227,0.998,1.0,0.999,0.9998,1.0,1.0
DoS,96798,0.9999,1.0,1.0,1.0,1.0,1.0
Bot,28532,0.9999,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.9994,1.0,0.9997,1.0,1.0,1.0
Infiltration,23215,0.8342,0.3138,0.456,0.9996,0.314,0.8714
Web Attacks,665,0.9286,0.1564,0.2677,1.0,1.0,0.9811
MACRO AVG,3778631,0.965,0.7814,0.8171,0.9949,0.8857,0.9778
WEIGHTED AVG,3778631,0.9946,0.9952,0.9942,0.9689,0.9647,0.9926
