Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9992,0.5316,0.694,0.9969,,0.991
DDoS,278227,0.9942,0.6436,0.7814,0.9997,1.0,0.4278
DoS,96798,0.9962,0.9999,0.9981,0.9999,0.9999,0.372
Bot,28532,0.9942,0.9998,0.997,1.0,0.9999,0.059
BruteForce,23967,0.9965,1.0,0.9983,1.0,1.0,0.6604
Infiltration,23215,0.0138,0.9394,0.0272,0.5857,0.9401,0.8463
Web Attacks,665,0.0042,0.6376,0.0084,0.9735,1.0,0.98
MACRO AVG,3778631,0.7141,0.8217,0.6435,0.9365,0.99,0.6195
WEIGHTED AVG,3778631,0.9925,0.5609,0.7082,0.9947,0.9969,0.9237
