Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9993,0.5634,0.7206,0.997,,0.9923
DDoS,278227,0.9984,0.6925,0.8178,0.9999,1.0,0.4878
DoS,96798,1.0,1.0,1.0,1.0,1.0,0.0062
Bot,28532,0.9999,1.0,1.0,1.0,1.0,0.0001
BruteForce,23967,0.9996,1.0,0.9998,1.0,1.0,0.0085
Infiltration,23215,0.0148,0.9423,0.0292,0.6132,0.9426,0.8679
Web Attacks,665,0.0045,0.5789,0.0089,0.9773,1.0,0.9804
MACRO AVG,3778631,0.7166,0.8253,0.6537,0.9411,0.9904,0.4776
WEIGHTED AVG,3778631,0.993,0.5925,0.7344,0.995,0.997,0.9154
