Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9952,0.9998,0.9975,0.9642,,0.9922
DDoS,278227,0.9982,0.8157,0.8977,0.9999,1.0,0.9999
DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.9995,1.0,0.9997,1.0,1.0,1.0
Infiltration,23215,0.9015,0.3048,0.4555,0.9998,0.3049,0.8655
Web Attacks,665,0.0053,0.4075,0.0104,0.9864,0.994,0.9788
MACRO AVG,3778631,0.8428,0.7897,0.7658,0.9929,0.8831,0.9766
WEIGHTED AVG,3778631,0.9948,0.9818,0.9867,0.9685,0.9642,0.9923
