Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9954,0.5432,0.7028,0.9814,,0.9794
DDoS,278227,0.937,0.2784,0.4292,0.9985,0.9933,0.7012
DoS,96798,0.7774,0.9638,0.8606,0.9927,0.9952,0.5108
Bot,28532,0.9925,0.9998,0.9961,0.9999,1.0,0.4967
BruteForce,23967,0.6508,0.999,0.7882,0.9966,1.0,0.2216
Infiltration,23215,0.0114,0.7185,0.0224,0.6144,0.7393,0.7198
Web Attacks,665,0.0027,0.9278,0.0053,0.9393,0.994,0.9651
MACRO AVG,3778631,0.6239,0.7758,0.5435,0.9318,0.9536,0.6564
WEIGHTED AVG,3778631,0.9771,0.542,0.6852,0.981,0.9814,0.9368
