Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9946,0.9933,0.9939,0.9599,,0.9825
DDoS,278227,0.9867,0.9972,0.9919,0.9989,0.9987,0.1733
DoS,96798,0.9183,0.9823,0.9492,0.9977,0.9926,0.3502
Bot,28532,0.9827,0.9982,0.9904,0.9999,0.9991,0.0873
BruteForce,23967,0.9531,0.9013,0.9264,0.9997,0.9654,0.5866
Infiltration,23215,0.3881,0.2852,0.3288,0.9972,0.3065,0.8002
Web Attacks,665,0.0103,0.0346,0.0159,0.9994,0.9368,0.8105
MACRO AVG,3778631,0.7477,0.7417,0.7424,0.9933,0.8665,0.5415
WEIGHTED AVG,3778631,0.9878,0.9882,0.9879,0.9646,0.9599,0.8963
