Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.999,0.5783,0.7325,0.9958,,0.9921
DDoS,278227,0.9965,0.6883,0.8142,0.9998,1.0,0.4902
DoS,96798,0.9959,0.9999,0.9979,0.9999,0.9999,0.4945
Bot,28532,0.9996,0.9998,0.9997,1.0,0.9998,0.4518
BruteForce,23967,0.9971,0.9998,0.9984,1.0,1.0,0.4721
Infiltration,23215,0.015,0.918,0.0295,0.6266,0.9187,0.8641
Web Attacks,665,0.0045,0.591,0.0089,0.977,1.0,0.9805
MACRO AVG,3778631,0.7154,0.825,0.6545,0.9427,0.9864,0.6779
WEIGHTED AVG,3778631,0.9925,0.6051,0.7446,0.994,0.9958,0.9342
