Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9951,0.9997,0.9974,0.964,,0.9919
DDoS,278227,0.9985,0.6897,0.8158,0.9999,1.0,0.9999
DoS,96798,0.9999,1.0,1.0,1.0,1.0,1.0
Bot,28532,0.9999,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.9994,1.0,0.9997,1.0,1.0,1.0
Infiltration,23215,0.8662,0.2993,0.4449,0.9997,0.2994,0.861
Web Attacks,665,0.0044,0.5789,0.0088,0.9771,0.991,0.9802
MACRO AVG,3778631,0.8377,0.7954,0.7524,0.9915,0.8817,0.9762
WEIGHTED AVG,3778631,0.9946,0.9725,0.9806,0.9683,0.964,0.992
