Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9953,0.9397,0.9667,0.9673,,0.9899
DDoS,278227,0.9953,0.9996,0.9974,0.9996,0.9996,0.3247
DoS,96798,0.9823,0.9926,0.9874,0.9995,0.9999,0.4791
Bot,28532,0.9994,0.9998,0.9996,1.0,1.0,0.7075
BruteForce,23967,0.9601,0.9999,0.9796,0.9997,1.0,0.457
Infiltration,23215,0.0416,0.3694,0.0748,0.9474,0.3695,0.8309
Web Attacks,665,0.1304,0.1398,0.135,0.9998,0.985,0.9745
MACRO AVG,3778631,0.7292,0.7772,0.7344,0.9876,0.8923,0.6805
WEIGHTED AVG,3778631,0.9888,0.9426,0.9642,0.9708,0.9673,0.9213
