Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9991,0.608,0.756,0.9959,,0.993
DDoS,278227,0.9984,0.7353,0.8469,0.9999,1.0,0.4789
DoS,96798,1.0,1.0,1.0,1.0,1.0,0.4965
Bot,28532,1.0,1.0,1.0,1.0,1.0,0.4598
BruteForce,23967,0.9993,1.0,0.9997,1.0,1.0,0.4865
Infiltration,23215,0.0161,0.9207,0.0317,0.6527,0.9208,0.8794
Web Attacks,665,0.0047,0.5188,0.0092,0.9805,0.9985,0.9792
MACRO AVG,3778631,0.7168,0.8261,0.6634,0.947,0.9865,0.6819
WEIGHTED AVG,3778631,0.9929,0.6348,0.7677,0.9943,0.9959,0.9345
