Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9952,0.9997,0.9975,0.9645,,0.9925
DDoS,278227,0.9979,1.0,0.999,0.9998,1.0,1.0
DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.9997,1.0,0.9998,1.0,1.0,1.0
Infiltration,23215,0.8907,0.3092,0.459,0.9998,0.3094,0.8714
Web Attacks,665,0.8203,0.1579,0.2648,1.0,1.0,0.9811
MACRO AVG,3778631,0.9577,0.781,0.8172,0.9949,0.8849,0.9778
WEIGHTED AVG,3778631,0.9949,0.9954,0.9942,0.9687,0.9645,0.9926
