Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
Benign,3327227,0.9952,0.9995,0.9974,0.9644,,0.9922
DDoS,278227,0.9961,0.9998,0.9979,0.9997,1.0,0.9999
DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
BruteForce,23967,0.9994,1.0,0.9997,1.0,1.0,1.0
Infiltration,23215,0.8746,0.3082,0.4558,0.9997,0.3083,0.8655
Web Attacks,665,0.6273,0.1519,0.2446,1.0,0.994,0.9788
MACRO AVG,3778631,0.9275,0.7799,0.8136,0.9948,0.8837,0.9766
WEIGHTED AVG,3778631,0.9946,0.9952,0.994,0.9686,0.9644,0.9923
