model,macro_F1,accuracy,binary_F1,nat_FPR,Infil_rec,Web_rec,p99_ms
flat_tuned_tau,0.8171522873728747,0.995360224377559,0.9808856495927725,0.00028101479099562485,0.30919664010338144,0.15789473684210525,297.1531929999763
flat_argmax,0.8171003244487077,0.9952445740269426,0.9804110504999111,0.000443612654020901,0.3137626534568167,0.15639097744360902,297.1531929999763
cascade_tuned_tau,0.8136251287692634,0.9951675620085687,0.9801402184778595,0.0004751704647744204,0.3082489769545552,0.1518796992481203,173.86246199865127
cascade_argmax,0.7658308793121915,0.9818325737548863,0.9808854184272499,0.0002473531261918709,0.3047598535429679,0.4075187969924812,173.86246199865127
